#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-02 18:37:55
2015-05-03 10:50:21 W3SVC3464 GET / - - 188.164.128.65 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.7+(KHTML,+like+Gecko)+Chrome/7.0.517.44+Safari/534.7 - - KSMITI.com 200 0 0 19216 393 984
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-03 13:09:27
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-03 13:09:26 W3SVC3464 GET / - - 123.125.71.54 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - ksmiti.com 304 0 0 230 304 547
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-03 13:34:47
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-03 13:34:47 W3SVC3464 GET /robots.txt - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 246 1062
2015-05-03 13:34:48 W3SVC3464 GET /wp-login.php - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 225 484
2015-05-03 13:34:49 W3SVC3464 GET /wp-login/ - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 222 500
2015-05-03 13:34:50 W3SVC3464 GET /wordpress/wp-login.php - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 235 562
2015-05-03 13:34:51 W3SVC3464 GET /wp-admin/wp-login.php - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 234 562
2015-05-03 13:34:55 W3SVC3464 GET /section/wp-login.php - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 233 1422
2015-05-03 13:34:58 W3SVC3464 GET /cms/wp-login.php - - 197.33.49.222 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 229 1781
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-03 14:01:42
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-03 14:01:42 W3SVC3464 GET /robots.txt - - 66.249.64.92 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.ksmiti.com 404 0 2 1405 255 687
2015-05-03 14:01:43 W3SVC3464 GET /Photogallery.htm - - 66.249.64.88 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.ksmiti.com 404 0 2 1405 304 531
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-03 14:52:39
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-03 14:52:38 W3SVC3464 GET /robots.txt - - 216.145.11.94 HTTP/1.0 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en;+rv:1.9.0.13)+Gecko/2009073022+Firefox/3.5.2+(.NET+CLR+3.5.30729)+SurveyBot/2.3+(DomainTools) - - www.ksmiti.com 404 0 2 1424 287 625
2015-05-03 14:52:39 W3SVC3464 GET / - - 216.145.11.94 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en;+rv:1.9.0.13)+Gecko/2009073022+Firefox/3.5.2+(.NET+CLR+3.5.30729)+SurveyBot/2.3+(DomainTools) - http://whois.domaintools.com/ksmiti.com www.ksmiti.com 200 0 0 19216 471 1172
